,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
AXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.009,0.003,0.004,0.004
DIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.005,0.009,0.005,0.006,0.005
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.006,0.006,0.006
MRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.006,0.006,0.006
VZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.005,0.007,0.007,0.006,0.007
RTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.005,0.008,0.005,0.006,0.005
PEP,0.113,0.106,0.124,0.123,0.121,0.119,0.0,0.006,0.0,0.005,0.007,0.006,0.006,0.006
AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.009,0.003,0.002,0.002
ADBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.004,0.003,0.003
PGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.004,0.005,0.004
TXN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.004,0.004,0.004
CAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.003,0.005,0.004
SCHW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.003,0.004,0.003
SPGI,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.019,0.005,0.006,0.005,0.006,0.006
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.006,0.005,0.006,0.005,0.005,0.005
AMGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.006,0.004,0.005
TMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.004,0.005,0.005
SYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.004,0.004,0.004
HON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.004,0.005,0.004
NEE,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.028,0.02,0.005,0.006,0.008,0.007,0.007
TJX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.004,0.004,0.004
